Nombre,Marca,Tipo,Sexo,Rating/5,Reviews,Vol(ml),Precio,Lista_deseos,Concentracion,Formato,Fam_olfativa,Notas_Corazon,Notas_Fondo,Notas_salida,Vol(ml)_num,Precio/ml
Ombré Leather,Tom Ford,Perfumes para hombres,Hombres,4.93,15,100,145.95,2000,EDP,Vaporizador,Cuero,"Cuero, Vetiver, Pachulí","Ámbar, Musgo","Cardamomo, Jazmín Sambac, Azafrán",100.0,1.4594999999999998
Ombré Leather,Tom Ford,Perfumes para hombres,Hombres,4.93,15,150,167.94,2000,EDP,Vaporizador,Cuero,"Cuero, Vetiver, Pachulí","Ámbar, Musgo","Cardamomo, Jazmín Sambac, Azafrán",150.0,1.1196
Eau de Rochas Homme,Rochas,Colonias para hombres,Hombres,4.85,48,100,29.95,453,EDT,Vaporizador,,"Jazmín, Lirio de los Valles, Cilantro, Violeta, Rosa, Clavel, Fresa","Cedro, Almizcle, Ámbar, Vetiver, Musgo de Roble","Mandarina, Limón, Bergamota, Cedro, Albahaca, Lima",100.0,0.2995
Eau de Rochas Homme,Rochas,Colonias para hombres,Hombres,4.85,48,200,39.95,453,EDT,Vaporizador,,"Jazmín, Lirio de los Valles, Cilantro, Violeta, Rosa, Clavel, Fresa","Cedro, Almizcle, Ámbar, Vetiver, Musgo de Roble","Mandarina, Limón, Bergamota, Cedro, Albahaca, Lima",200.0,0.19975
In Love Woman Eau de Parfum,Saphir,Perfumes de Mujer,Mujer,5.0,1,30,2.99,79,EDP,Frasco,Floral,"Jazmín, Manzana","Vainilla, Cedro","Limón, Bergamota",30.0,0.09966666666666667
In Love Woman Eau de Parfum,Saphir,Perfumes de Mujer,Mujer,5.0,1,200,13.89,79,EDP,Frasco,Floral,"Jazmín, Manzana","Vainilla, Cedro","Limón, Bergamota",200.0,0.06945
Gold Men Eau de Toilette,Poseidon,Perfumes para hombres,Hombres,4.0,2,150,9.99,,EDT,Spray,Aromático Especiado,"Especias, Canela, Absoluto de Rosa","Pachulí, Ámbar, Cuero, Madera Blanca","Mandarina, Menta, Pomelo, Naranja",150.0,0.0666
Vida Pink by Saphir pour Femme Eau de Parfum,Saphir,Perfumes de Mujer,Mujer,,,30,2.99,,EDP,Frasco,Oriental,"Jazmín, Muguet, Iris, Fresia, Orquídea, Hoja de Naranjo","Vainilla, Pachulí, Almizcle, Haba Tonka, Musgo, Ámbar Gris","Bergamota, Pimienta Rosa, Naranja, Grosella Negra",30.0,0.09966666666666667
Eros Flame EDP,Versace,Perfumes para hombres,Hombres,4.94,16,50,53.9,2000,EDP,Vaporizador,Amaderada Especiada,"Geranio, Rosa, Pimienta","Vainilla, Cedro, Pachulí, Sándalo, Musgo de Roble, Haba Tonka","Mandarina, Limón, Chinotto, Pimienta Negra",50.0,1.078
Eros Flame EDP,Versace,Perfumes para hombres,Hombres,4.94,16,100,68.95,2000,EDP,Vaporizador,Amaderada Especiada,"Geranio, Rosa, Pimienta","Vainilla, Cedro, Pachulí, Sándalo, Musgo de Roble, Haba Tonka","Mandarina, Limón, Chinotto, Pimienta Negra",100.0,0.6895
Gold Seduction Estuche,Women's Secret,Cofres de perfumes para mujer,Mujer,4.8,15,100,17.95,,EDP,Pack de productos / Set / Cofre,Floral Frutal Gourmand,"Almizcle, Cedro, Pachulí, Vainilla, Cachemira","Durazno, Jazmín","Frambuesa, Mandarina, Limón, Bergamota",100.0,0.1795
Agua Brava Colonia,Puig,Colonias para hombres,Hombres,4.87,39,200,15.95,,EDC,Frasco,,"Laurel, Clavel, Clavo, Pino, Tomillo","Pachulí, Almizcle, Vetiver, Sándalo, Musgo de Roble, Cuero","Limón, Bergamota, Lavanda, Salvia, Enebro",200.0,0.07975
Perfect Man Champion Eau de Parfum,Saphir,Perfumes para hombres,Hombres,,,30,2.99,,EDP,Frasco,Aromática,"Pachulí, Manzana, Cachemira","Vainilla, Almizcle, Ámbar, Musgo, Tonka",Limón,30.0,0.09966666666666667
Perfect Man Champion Eau de Parfum,Saphir,Perfumes para hombres,Hombres,,,30,2.99,,EDP,Frasco,Aromática,"Pachulí, Manzana, Cachemira","Vainilla, Almizcle, Ámbar, Musgo, Tonka",Limón,30.0,0.09966666666666667
Omnia Coral Eau de Toilette Estuche,Bvlgari,Cofres de perfumes para mujer,Mujer,5.0,5,EDT 100 ml + Mini,94.95,236,EDT,Pack de productos / Set / Cofre,Floral afrutada,"Lirio, Hibiscos",Madera de Cedro,"Bayas Goji, Esencia de Bergamota",,
Omnia Coral Eau de Toilette Estuche,Bvlgari,Cofres de perfumes para mujer,Mujer,5.0,5,EDT 100 ML + EDT 15 ML,89.94,236,EDT,Pack de productos / Set / Cofre,Floral afrutada,"Lirio, Hibiscos",Madera de Cedro,"Bayas Goji, Esencia de Bergamota",,
Omnia Coral Eau de Toilette Estuche,Bvlgari,Cofres de perfumes para mujer,Mujer,5.0,5,EDT 100 ml + Mini,94.95,236,EDT,Pack de productos / Set / Cofre,Floral afrutada,"Lirio, Hibiscos",Madera de Cedro,"Bayas Goji, Esencia de Bergamota",,
Omnia Coral Eau de Toilette Estuche,Bvlgari,Cofres de perfumes para mujer,Mujer,5.0,5,EDT 100 ML + EDT 15 ML,89.94,236,EDT,Pack de productos / Set / Cofre,Floral afrutada,"Lirio, Hibiscos",Madera de Cedro,"Bayas Goji, Esencia de Bergamota",,
Red Party Eau de Toilette Estuche de Mujer,Don Algodón,Cofres de perfumes para mujer,Mujer,,,Set 4 productos,10.95,214,EDT,Pack de productos / Set / Cofre,,"Flor de Azahar, Rosa de Grasse","Cachemira, Almendra","Cítricos, Naranja Dulce",,
